;TAZID,CO_TAZID,CO_FIPS,CO_NAME
1,30001,3,BOX ELDER
2,30002,3,BOX ELDER
3,30003,3,BOX ELDER
4,30004,3,BOX ELDER
5,30005,3,BOX ELDER
6,30006,3,BOX ELDER
7,30007,3,BOX ELDER
8,30008,3,BOX ELDER
9,30009,3,BOX ELDER
10,30010,3,BOX ELDER
11,30011,3,BOX ELDER
12,30012,3,BOX ELDER
13,30013,3,BOX ELDER
14,30014,3,BOX ELDER
15,30015,3,BOX ELDER
16,30016,3,BOX ELDER
17,30017,3,BOX ELDER
18,30018,3,BOX ELDER
19,30019,3,BOX ELDER
20,30020,3,BOX ELDER
21,30021,3,BOX ELDER
22,30022,3,BOX ELDER
23,30023,3,BOX ELDER
24,30024,3,BOX ELDER
25,30025,3,BOX ELDER
26,30026,3,BOX ELDER
27,30027,3,BOX ELDER
28,30028,3,BOX ELDER
29,30029,3,BOX ELDER
30,30030,3,BOX ELDER
31,30031,3,BOX ELDER
32,30032,3,BOX ELDER
33,30033,3,BOX ELDER
34,30034,3,BOX ELDER
35,30035,3,BOX ELDER
36,30036,3,BOX ELDER
37,30037,3,BOX ELDER
38,30038,3,BOX ELDER
39,30039,3,BOX ELDER
40,30040,3,BOX ELDER
41,30041,3,BOX ELDER
42,30042,3,BOX ELDER
43,30043,3,BOX ELDER
44,30044,3,BOX ELDER
45,30045,3,BOX ELDER
46,30046,3,BOX ELDER
47,30047,3,BOX ELDER
48,30048,3,BOX ELDER
49,30049,3,BOX ELDER
50,30050,3,BOX ELDER
51,30051,3,BOX ELDER
52,30052,3,BOX ELDER
53,30053,3,BOX ELDER
54,30054,3,BOX ELDER
55,30055,3,BOX ELDER
56,30056,3,BOX ELDER
57,30057,3,BOX ELDER
58,30058,3,BOX ELDER
59,30059,3,BOX ELDER
60,30060,3,BOX ELDER
61,30061,3,BOX ELDER
62,30062,3,BOX ELDER
63,30063,3,BOX ELDER
64,30064,3,BOX ELDER
65,30065,3,BOX ELDER
66,30066,3,BOX ELDER
67,30067,3,BOX ELDER
68,30068,3,BOX ELDER
69,30069,3,BOX ELDER
70,30070,3,BOX ELDER
71,30071,3,BOX ELDER
72,30072,3,BOX ELDER
73,30073,3,BOX ELDER
74,30074,3,BOX ELDER
75,30075,3,BOX ELDER
76,30076,3,BOX ELDER
77,30077,3,BOX ELDER
78,30078,3,BOX ELDER
79,30079,3,BOX ELDER
80,30080,3,BOX ELDER
81,30081,3,BOX ELDER
82,30082,3,BOX ELDER
83,30083,3,BOX ELDER
84,30084,3,BOX ELDER
85,30085,3,BOX ELDER
86,30086,3,BOX ELDER
87,30087,3,BOX ELDER
88,30088,3,BOX ELDER
89,30089,3,BOX ELDER
90,30090,3,BOX ELDER
91,30091,3,BOX ELDER
92,30092,3,BOX ELDER
93,30093,3,BOX ELDER
94,30094,3,BOX ELDER
95,30095,3,BOX ELDER
96,30096,3,BOX ELDER
97,30097,3,BOX ELDER
98,30098,3,BOX ELDER
99,30099,3,BOX ELDER
100,30100,3,BOX ELDER
101,30101,3,BOX ELDER
102,30102,3,BOX ELDER
103,30103,3,BOX ELDER
104,30104,3,BOX ELDER
105,30105,3,BOX ELDER
106,30106,3,BOX ELDER
107,30107,3,BOX ELDER
108,30108,3,BOX ELDER
109,30109,3,BOX ELDER
110,30110,3,BOX ELDER
111,30111,3,BOX ELDER
112,30112,3,BOX ELDER
113,30113,3,BOX ELDER
114,30114,3,BOX ELDER
115,30115,3,BOX ELDER
116,30116,3,BOX ELDER
117,30117,3,BOX ELDER
118,30118,3,BOX ELDER
119,30119,3,BOX ELDER
120,30120,3,BOX ELDER
121,30121,3,BOX ELDER
122,30122,3,BOX ELDER
123,30123,3,BOX ELDER
124,30124,3,BOX ELDER
125,30125,3,BOX ELDER
126,30126,3,BOX ELDER
127,30127,3,BOX ELDER
128,30128,3,BOX ELDER
129,30129,3,BOX ELDER
130,30130,3,BOX ELDER
131,30131,3,BOX ELDER
132,30132,3,BOX ELDER
133,30133,3,BOX ELDER
134,30134,3,BOX ELDER
135,30135,3,BOX ELDER
136,30136,0,external
137,30137,0,external
138,30138,0,external
139,30139,0,external
140,30140,0,external
141,570141,57,WEBER
142,570142,57,WEBER
143,570143,57,WEBER
144,570144,57,WEBER
145,570145,57,WEBER
146,570146,57,WEBER
147,570147,57,WEBER
148,570148,57,WEBER
149,570149,57,WEBER
150,570150,57,WEBER
151,570151,57,WEBER
152,570152,57,WEBER
153,570153,57,WEBER
154,570154,57,WEBER
155,570155,57,WEBER
156,570156,57,WEBER
157,570157,57,WEBER
158,570158,57,WEBER
159,570159,57,WEBER
160,570160,57,WEBER
161,570161,57,WEBER
162,570162,57,WEBER
163,570163,57,WEBER
164,570164,57,WEBER
165,570165,57,WEBER
166,570166,57,WEBER
167,570167,57,WEBER
168,570168,57,WEBER
169,570169,57,WEBER
170,570170,57,WEBER
171,570171,57,WEBER
172,570172,57,WEBER
173,570173,57,WEBER
174,570174,57,WEBER
175,570175,57,WEBER
176,570176,57,WEBER
177,570177,57,WEBER
178,570178,57,WEBER
179,570179,57,WEBER
180,570180,57,WEBER
181,570181,57,WEBER
182,570182,57,WEBER
183,570183,57,WEBER
184,570184,57,WEBER
185,570185,57,WEBER
186,570186,57,WEBER
187,570187,57,WEBER
188,570188,57,WEBER
189,570189,57,WEBER
190,570190,57,WEBER
191,570191,57,WEBER
192,570192,57,WEBER
193,570193,57,WEBER
194,570194,57,WEBER
195,570195,57,WEBER
196,570196,57,WEBER
197,570197,57,WEBER
198,570198,57,WEBER
199,570199,57,WEBER
200,570200,57,WEBER
201,570201,57,WEBER
202,570202,57,WEBER
203,570203,57,WEBER
204,570204,57,WEBER
205,570205,57,WEBER
206,570206,57,WEBER
207,570207,57,WEBER
208,570208,57,WEBER
209,570209,57,WEBER
210,570210,57,WEBER
211,570211,57,WEBER
212,570212,57,WEBER
213,570213,57,WEBER
214,570214,57,WEBER
215,570215,57,WEBER
216,570216,57,WEBER
217,570217,57,WEBER
218,570218,57,WEBER
219,570219,57,WEBER
220,570220,57,WEBER
221,570221,57,WEBER
222,570222,57,WEBER
223,570223,57,WEBER
224,570224,57,WEBER
225,570225,57,WEBER
226,570226,57,WEBER
227,570227,57,WEBER
228,570228,57,WEBER
229,570229,57,WEBER
230,570230,57,WEBER
231,570231,57,WEBER
232,570232,57,WEBER
233,570233,57,WEBER
234,570234,57,WEBER
235,570235,57,WEBER
236,570236,57,WEBER
237,570237,57,WEBER
238,570238,57,WEBER
239,570239,57,WEBER
240,570240,57,WEBER
241,570241,57,WEBER
242,570242,57,WEBER
243,570243,57,WEBER
244,570244,57,WEBER
245,570245,57,WEBER
246,570246,57,WEBER
247,570247,57,WEBER
248,570248,57,WEBER
249,570249,57,WEBER
250,570250,57,WEBER
251,570251,57,WEBER
252,570252,57,WEBER
253,570253,57,WEBER
254,570254,57,WEBER
255,570255,57,WEBER
256,570256,57,WEBER
257,570257,57,WEBER
258,570258,57,WEBER
259,570259,57,WEBER
260,570260,57,WEBER
261,570261,57,WEBER
262,570262,57,WEBER
263,570263,57,WEBER
264,570264,57,WEBER
265,570265,57,WEBER
266,570266,57,WEBER
267,570267,57,WEBER
268,570268,57,WEBER
269,570269,57,WEBER
270,570270,57,WEBER
271,570271,57,WEBER
272,570272,57,WEBER
273,570273,57,WEBER
274,570274,57,WEBER
275,570275,57,WEBER
276,570276,57,WEBER
277,570277,57,WEBER
278,570278,57,WEBER
279,570279,57,WEBER
280,570280,57,WEBER
281,570281,57,WEBER
282,570282,57,WEBER
283,570283,57,WEBER
284,570284,57,WEBER
285,570285,57,WEBER
286,570286,57,WEBER
287,570287,57,WEBER
288,570288,57,WEBER
289,570289,57,WEBER
290,570290,57,WEBER
291,570291,57,WEBER
292,570292,57,WEBER
293,570293,57,WEBER
294,570294,57,WEBER
295,570295,57,WEBER
296,570296,57,WEBER
297,570297,57,WEBER
298,570298,57,WEBER
299,570299,57,WEBER
300,570300,57,WEBER
301,570301,57,WEBER
302,570302,57,WEBER
303,570303,57,WEBER
304,570304,57,WEBER
305,570305,57,WEBER
306,570306,57,WEBER
307,570307,57,WEBER
308,570308,57,WEBER
309,570309,57,WEBER
310,570310,57,WEBER
311,570311,57,WEBER
312,570312,57,WEBER
313,570313,57,WEBER
314,570314,57,WEBER
315,570315,57,WEBER
316,570316,57,WEBER
317,570317,57,WEBER
318,570318,57,WEBER
319,570319,57,WEBER
320,570320,57,WEBER
321,570321,57,WEBER
322,570322,57,WEBER
323,570323,57,WEBER
324,570324,57,WEBER
325,570325,57,WEBER
326,570326,57,WEBER
327,570327,57,WEBER
328,570328,57,WEBER
329,570329,57,WEBER
330,570330,57,WEBER
331,570331,57,WEBER
332,570332,57,WEBER
333,570333,57,WEBER
334,570334,57,WEBER
335,570335,57,WEBER
336,570336,57,WEBER
337,570337,57,WEBER
338,570338,57,WEBER
339,570339,57,WEBER
340,570340,57,WEBER
341,570341,57,WEBER
342,570342,57,WEBER
343,570343,57,WEBER
344,570344,57,WEBER
345,570345,57,WEBER
346,570346,57,WEBER
347,570347,57,WEBER
348,570348,57,WEBER
349,570349,57,WEBER
350,570350,57,WEBER
351,570351,57,WEBER
352,570352,57,WEBER
353,570353,57,WEBER
354,570354,57,WEBER
355,570355,57,WEBER
356,570356,57,WEBER
357,570357,57,WEBER
358,570358,57,WEBER
359,570359,57,WEBER
360,570360,57,WEBER
361,570361,57,WEBER
362,570362,57,WEBER
363,570363,57,WEBER
364,570364,57,WEBER
365,570365,57,WEBER
366,570366,57,WEBER
367,570367,57,WEBER
368,570368,57,WEBER
369,570369,57,WEBER
370,570370,57,WEBER
371,570371,57,WEBER
372,570372,57,WEBER
373,570373,57,WEBER
374,570374,57,WEBER
375,570375,57,WEBER
376,570376,57,WEBER
377,570377,57,WEBER
378,570378,57,WEBER
379,570379,57,WEBER
380,570380,57,WEBER
381,570381,57,WEBER
382,570382,57,WEBER
383,570383,57,WEBER
384,570384,57,WEBER
385,570385,57,WEBER
386,570386,57,WEBER
387,570387,57,WEBER
388,570388,57,WEBER
389,570389,57,WEBER
390,570390,57,WEBER
391,570391,57,WEBER
392,570392,57,WEBER
393,570393,57,WEBER
394,570394,57,WEBER
395,570395,57,WEBER
396,570396,57,WEBER
397,570397,57,WEBER
398,570398,57,WEBER
399,570399,57,WEBER
400,570400,57,WEBER
401,570401,57,WEBER
402,570402,57,WEBER
403,570403,57,WEBER
404,570404,57,WEBER
405,570405,57,WEBER
406,570406,57,WEBER
407,570407,57,WEBER
408,570408,57,WEBER
409,570409,57,WEBER
410,570410,57,WEBER
411,570411,57,WEBER
412,570412,57,WEBER
413,570413,57,WEBER
414,570414,57,WEBER
415,570415,57,WEBER
416,570416,57,WEBER
417,570417,57,WEBER
418,570418,57,WEBER
419,570419,57,WEBER
420,570420,57,WEBER
421,570421,0,external
422,570422,0,external
423,570423,0,external
424,110424,11,DAVIS
425,110425,11,DAVIS
426,110426,11,DAVIS
427,110427,11,DAVIS
428,110428,11,DAVIS
429,110429,11,DAVIS
430,110430,11,DAVIS
431,110431,11,DAVIS
432,110432,11,DAVIS
433,110433,11,DAVIS
434,110434,11,DAVIS
435,110435,11,DAVIS
436,110436,11,DAVIS
437,110437,11,DAVIS
438,110438,11,DAVIS
439,110439,11,DAVIS
440,110440,11,DAVIS
441,110441,11,DAVIS
442,110442,11,DAVIS
443,110443,11,DAVIS
444,110444,11,DAVIS
445,110445,11,DAVIS
446,110446,11,DAVIS
447,110447,11,DAVIS
448,110448,11,DAVIS
449,110449,11,DAVIS
450,110450,11,DAVIS
451,110451,11,DAVIS
452,110452,11,DAVIS
453,110453,11,DAVIS
454,110454,11,DAVIS
455,110455,11,DAVIS
456,110456,11,DAVIS
457,110457,11,DAVIS
458,110458,11,DAVIS
459,110459,11,DAVIS
460,110460,11,DAVIS
461,110461,11,DAVIS
462,110462,11,DAVIS
463,110463,11,DAVIS
464,110464,11,DAVIS
465,110465,11,DAVIS
466,110466,11,DAVIS
467,110467,11,DAVIS
468,110468,11,DAVIS
469,110469,11,DAVIS
470,110470,11,DAVIS
471,110471,11,DAVIS
472,110472,11,DAVIS
473,110473,11,DAVIS
474,110474,11,DAVIS
475,110475,11,DAVIS
476,110476,11,DAVIS
477,110477,11,DAVIS
478,110478,11,DAVIS
479,110479,11,DAVIS
480,110480,11,DAVIS
481,110481,11,DAVIS
482,110482,11,DAVIS
483,110483,11,DAVIS
484,110484,11,DAVIS
485,110485,11,DAVIS
486,110486,11,DAVIS
487,110487,11,DAVIS
488,110488,11,DAVIS
489,110489,11,DAVIS
490,110490,11,DAVIS
491,110491,11,DAVIS
492,110492,11,DAVIS
493,110493,11,DAVIS
494,110494,11,DAVIS
495,110495,11,DAVIS
496,110496,11,DAVIS
497,110497,11,DAVIS
498,110498,11,DAVIS
499,110499,11,DAVIS
500,110500,11,DAVIS
501,110501,11,DAVIS
502,110502,11,DAVIS
503,110503,11,DAVIS
504,110504,11,DAVIS
505,110505,11,DAVIS
506,110506,11,DAVIS
507,110507,11,DAVIS
508,110508,11,DAVIS
509,110509,11,DAVIS
510,110510,11,DAVIS
511,110511,11,DAVIS
512,110512,11,DAVIS
513,110513,11,DAVIS
514,110514,11,DAVIS
515,110515,11,DAVIS
516,110516,11,DAVIS
517,110517,11,DAVIS
518,110518,11,DAVIS
519,110519,11,DAVIS
520,110520,11,DAVIS
521,110521,11,DAVIS
522,110522,11,DAVIS
523,110523,11,DAVIS
524,110524,11,DAVIS
525,110525,11,DAVIS
526,110526,11,DAVIS
527,110527,11,DAVIS
528,110528,11,DAVIS
529,110529,11,DAVIS
530,110530,11,DAVIS
531,110531,11,DAVIS
532,110532,11,DAVIS
533,110533,11,DAVIS
534,110534,11,DAVIS
535,110535,11,DAVIS
536,110536,11,DAVIS
537,110537,11,DAVIS
538,110538,11,DAVIS
539,110539,11,DAVIS
540,110540,11,DAVIS
541,110541,11,DAVIS
542,110542,11,DAVIS
543,110543,11,DAVIS
544,110544,11,DAVIS
545,110545,11,DAVIS
546,110546,11,DAVIS
547,110547,11,DAVIS
548,110548,11,DAVIS
549,110549,11,DAVIS
550,110550,11,DAVIS
551,110551,11,DAVIS
552,110552,11,DAVIS
553,110553,11,DAVIS
554,110554,11,DAVIS
555,110555,11,DAVIS
556,110556,11,DAVIS
557,110557,11,DAVIS
558,110558,11,DAVIS
559,110559,11,DAVIS
560,110560,11,DAVIS
561,110561,11,DAVIS
562,110562,11,DAVIS
563,110563,11,DAVIS
564,110564,11,DAVIS
565,110565,11,DAVIS
566,110566,11,DAVIS
567,110567,11,DAVIS
568,110568,11,DAVIS
569,110569,11,DAVIS
570,110570,11,DAVIS
571,110571,11,DAVIS
572,110572,11,DAVIS
573,110573,11,DAVIS
574,110574,11,DAVIS
575,110575,11,DAVIS
576,110576,11,DAVIS
577,110577,11,DAVIS
578,110578,11,DAVIS
579,110579,11,DAVIS
580,110580,11,DAVIS
581,110581,11,DAVIS
582,110582,11,DAVIS
583,110583,11,DAVIS
584,110584,11,DAVIS
585,110585,11,DAVIS
586,110586,11,DAVIS
587,110587,11,DAVIS
588,110588,11,DAVIS
589,110589,11,DAVIS
590,110590,11,DAVIS
591,110591,11,DAVIS
592,110592,11,DAVIS
593,110593,11,DAVIS
594,110594,11,DAVIS
595,110595,11,DAVIS
596,110596,11,DAVIS
597,110597,11,DAVIS
598,110598,11,DAVIS
599,110599,11,DAVIS
600,110600,11,DAVIS
601,110601,11,DAVIS
602,110602,11,DAVIS
603,110603,11,DAVIS
604,110604,11,DAVIS
605,110605,11,DAVIS
606,110606,11,DAVIS
607,110607,11,DAVIS
608,110608,11,DAVIS
609,110609,11,DAVIS
610,110610,11,DAVIS
611,110611,11,DAVIS
612,110612,11,DAVIS
613,110613,11,DAVIS
614,110614,11,DAVIS
615,110615,11,DAVIS
616,110616,11,DAVIS
617,110617,11,DAVIS
618,110618,11,DAVIS
619,110619,11,DAVIS
620,110620,11,DAVIS
621,110621,11,DAVIS
622,110622,11,DAVIS
623,110623,11,DAVIS
624,110624,11,DAVIS
625,110625,11,DAVIS
626,110626,11,DAVIS
627,110627,11,DAVIS
628,110628,11,DAVIS
629,110629,11,DAVIS
630,110630,11,DAVIS
631,110631,11,DAVIS
632,110632,11,DAVIS
633,110633,11,DAVIS
634,110634,11,DAVIS
635,110635,11,DAVIS
636,110636,11,DAVIS
637,110637,11,DAVIS
638,110638,11,DAVIS
639,110639,11,DAVIS
640,110640,11,DAVIS
641,110641,11,DAVIS
642,110642,11,DAVIS
643,110643,11,DAVIS
644,110644,11,DAVIS
645,110645,11,DAVIS
646,110646,11,DAVIS
647,110647,11,DAVIS
648,110648,11,DAVIS
649,110649,11,DAVIS
650,110650,11,DAVIS
651,110651,11,DAVIS
652,110652,11,DAVIS
653,110653,11,DAVIS
654,110654,11,DAVIS
655,350655,35,SALT LAKE
656,350656,35,SALT LAKE
657,350657,35,SALT LAKE
658,350658,35,SALT LAKE
659,350659,35,SALT LAKE
660,350660,35,SALT LAKE
661,350661,35,SALT LAKE
662,350662,35,SALT LAKE
663,350663,35,SALT LAKE
664,350664,35,SALT LAKE
665,350665,35,SALT LAKE
666,350666,35,SALT LAKE
667,350667,35,SALT LAKE
668,350668,35,SALT LAKE
669,350669,35,SALT LAKE
670,350670,35,SALT LAKE
671,350671,35,SALT LAKE
672,350672,35,SALT LAKE
673,350673,35,SALT LAKE
674,350674,35,SALT LAKE
675,350675,35,SALT LAKE
676,350676,35,SALT LAKE
677,350677,35,SALT LAKE
678,350678,35,SALT LAKE
679,350679,35,SALT LAKE
680,350680,35,SALT LAKE
681,350681,35,SALT LAKE
682,350682,35,SALT LAKE
683,350683,35,SALT LAKE
684,350684,35,SALT LAKE
685,350685,35,SALT LAKE
686,350686,35,SALT LAKE
687,350687,35,SALT LAKE
688,350688,35,SALT LAKE
689,350689,35,SALT LAKE
690,350690,35,SALT LAKE
691,350691,35,SALT LAKE
692,350692,35,SALT LAKE
693,350693,35,SALT LAKE
694,350694,35,SALT LAKE
695,350695,35,SALT LAKE
696,350696,35,SALT LAKE
697,350697,35,SALT LAKE
698,350698,35,SALT LAKE
699,350699,35,SALT LAKE
700,350700,35,SALT LAKE
701,350701,35,SALT LAKE
702,350702,35,SALT LAKE
703,350703,35,SALT LAKE
704,350704,35,SALT LAKE
705,350705,35,SALT LAKE
706,350706,35,SALT LAKE
707,350707,35,SALT LAKE
708,350708,35,SALT LAKE
709,350709,35,SALT LAKE
710,350710,35,SALT LAKE
711,350711,35,SALT LAKE
712,350712,35,SALT LAKE
713,350713,35,SALT LAKE
714,350714,35,SALT LAKE
715,350715,35,SALT LAKE
716,350716,35,SALT LAKE
717,350717,35,SALT LAKE
718,350718,35,SALT LAKE
719,350719,35,SALT LAKE
720,350720,35,SALT LAKE
721,350721,35,SALT LAKE
722,350722,35,SALT LAKE
723,350723,35,SALT LAKE
724,350724,35,SALT LAKE
725,350725,35,SALT LAKE
726,350726,35,SALT LAKE
727,350727,35,SALT LAKE
728,350728,35,SALT LAKE
729,350729,35,SALT LAKE
730,350730,35,SALT LAKE
731,350731,35,SALT LAKE
732,350732,35,SALT LAKE
733,350733,35,SALT LAKE
734,350734,35,SALT LAKE
735,350735,35,SALT LAKE
736,350736,35,SALT LAKE
737,350737,35,SALT LAKE
738,350738,35,SALT LAKE
739,350739,35,SALT LAKE
740,350740,35,SALT LAKE
741,350741,35,SALT LAKE
742,350742,35,SALT LAKE
743,350743,35,SALT LAKE
744,350744,35,SALT LAKE
745,350745,35,SALT LAKE
746,350746,35,SALT LAKE
747,350747,35,SALT LAKE
748,350748,35,SALT LAKE
749,350749,35,SALT LAKE
750,350750,35,SALT LAKE
751,350751,35,SALT LAKE
752,350752,35,SALT LAKE
753,350753,35,SALT LAKE
754,350754,35,SALT LAKE
755,350755,35,SALT LAKE
756,350756,35,SALT LAKE
757,350757,35,SALT LAKE
758,350758,35,SALT LAKE
